name,ticker
06MAGNA,06N
11BIT,11B
3RGAMES,3RG
ABPL,ABE
ACAUTOGAZ,ACG
ACTION,ACT
ADIUVO,ADV
AGORA,AGO
AGROTON,AGT
AIGAMES,ALG
AILLERON,ALL
AIRWAY,AWM
ALIOR,ALR
ALLEGRO,ALE
ALTA,AAT
ALTUS,ALI
ALUMETAL,AML
AMBRA,AMB
AMICA,AMC
AMREST,EAT
ANSWEAR,ANR
APATOR,APT
APLISENS,APN
APSENERGY,APE
ARCHICOM,ARH
ARCTIC,ATC
ARTERIA,ARR
ARTIFEX,ART
ASBIS,ASB
ASSECOBS,ABS
ASSECOPOL,ACP
ASSECOSEE,ASE
ASTARTA,AST
ATAL,1AT
ATENDE,ATD
ATLANTAPL,ATP
ATLANTIS,ATS
ATLASEST,ATL
ATMGRUPA,ATG
AUTOPARTN,APR
BAHOLDING,BAH
BBIDEV,BBD
BEDZIN,BDZ
BENEFIT,BFT
BETACOM,BCM
BIGCHEESE,BCS
BIOMAXIMA,BMX
BIOMEDLUB,BML
BIOPLANET,BIP
BIOTON,BIO
BNPPPL,BNP
BOGDANKA,LWB
BOOMBIT,BBT
BORYSZEW,BRS
BOS,BOS
BOWIM,BOW
BRAND24,B24
BUDIMEX,BDX
BUMECH,BMC
CAPTORTX,CTX
CAVATINA,CAV
CCC,CCC
CCENERGY,CCE
CDPROJEKT,CDR
CDRL,CDL
CELTIC,CPD
CEZ,CEZ
CIECH,CIE
CIGAMES,CIG
CITYSERV,CTS
CLNPHARMA,CLN
CNT,CNT
COALENERG,CLE
COGNOR,COG
COMARCH,CMR
COMP,CMP
COMPERIA,CPL
COMPREMUM,CPR
CORMAY,CRM
CREEPYJAR,CRJ
CYFRPLSAT,CPS
DADELO,DAD
DATAWALK,DAT
DEBICA,DBC
DECORA,DCR
DEKPOL,DEK
DELKO,DEL
DEVELIA,DVL
DIGITANET,DIG
DINOPL,DNP
DOMDEV,DOM
DROZAPOL,DPL
ECHO,ECH
EDINVEST,EDI
EKOEXPORT,EEX
ELEKTROTI,ELT
ELKOP,EKP
ELZAB,ELZ
ENAP,ENP
ENEA,ENA
ENELMED,ENE
ENTER,ENT
ERBUD,ERB
ERG,ERG
ESOTIQ,EAH
EUCO,EUC
EUROCASH,EUR
EUROHOLD,EHG
EUROTEL,ETL
FAMUR,FMF
FASING,FSG
FEERUM,FEE
FERRO,FRO
FERRUM,FER
FON,FON
FORTE,FTE
GAMEOPS,GOP
GAMFACTOR,GIF
GETIN,GTN
GETINOBLE,GNB
GIGROUP,GIG
GOBARTO,GOB
GPW,GPW
GREENX,GRX
GROCLIN,GCN
GRODNO,GRN
GRUPAAZOTY,ATT
GRUPRACUJ,GPP
GTC,GTC
HANDLOWY,BHW
HARPER,HRP
HELIO,HEL
HERKULES,HRS
HMINWEST,HMI
HUUUGE,HUG
HYDROTOR,HDR
IFIRMA,IFI
IIAAV,IIA
IMCOMPANY,IMC
IMMOBILE,GKI
IMPERIO,IMP
IMS,IMS
INC,INC
INGBSK,ING
INPRO,INP
INSTALKRK,INK
INTERAOLT,IRL
INTERCARS,CAR
INTERSPPL,IPO
INTROL,INL
INVISTA,INV
IPOPEMA,IPE
IZOSTAL,IZS
JSW,JSW
K2HOLDING,K2H
KCI,KCI
KERNEL,KER
KETY,KTY
KGHM,KGH
KGL,KGL
KINOPOL,KPL
KOGENERA,KGN
KOMPAP,KMP
KPPD,KPD
KREC,KRC
KRKA,KRK
KRUK,KRU
KRVITAMIN,KVT
KSGAGRO,KSG
LARQ,LRQ
LENA,LEN
LENTEX,LTX
LIBET,LBT
LIVECHAT,LVC
LOKUM,LKD
LOTOS,LTS
LPP,LPP
LSISOFT,LSI
LUBAWA,LBW
MABION,MAB
MAKARONPL,MAK
MANGATA,MGT
MARVIPOL,MVP
MAXCOM,MXC
MBANK,MBK
MBWS,MBW
MCI,MCI
MDIENERGIA,MDI
MEDICALG,MDG
MEDINICE,ICE
MENNICA,MNC
MERCATOR,MRC
MERCOR,MCR
MEXPOLSKA,MEX
MFO,MFO
MILKILAND,MLK
MILLENNIUM,MIL
MIRACULUM,MIR
MIRBUD,MRB
MLPGROUP,MLG
MLSYSTEM,MLS
MOBRUK,MBR
MOL,MOL
MOLECURE,MOC
MONNARI,MON
MOSTALPLC,MSP
MOSTALWAR,MSW
MOSTALZAB,MSZ
MUZA,MZA
MWTRADE,MWT
NANOGROUP,NNG
NEUCA,NEU
NEWAG,NWG
NEXITY,NXG
NOVATURAS,NTU
NTTSYSTEM,NTT
ODLEWNIE,ODL
OEX,OEX
ONDE,OND
OPONEO.PL,OPN
OPTEAM,OPM
ORANGEPL,OPL
ORZBIALY,OBL
OTLOG,OTS
OTMUCHOW,OTM
OVOSTAR,OVO
PAMAPOL,PMP
PANOVA,NVA
PATENTUS,PAT
PCCROKITA,PCR
PCFGROUP,PCF
PEKABEX,PBX
PEKAO,PEO
PEP,PEP
PEPCO,PCO
PEPEES,PPS
PGE,PGE
PGFGROUP,PGV
PGNIG,PGN
PHARMENA,PHR
PHN,PHN
PHOTON,PEN
PKNORLEN,PKN
PKOBP,PKO
PKPCARGO,PKP
PLAYWAY,PLW
PLAZACNTR,PLZ
PMPG,PGM
POLICE,PCE
POLIMEXMS,PXM
POLTREG,PTG
POLWAX,PWX
PRAGMAINK,PRI
PROCHEM,PRM
PROJPRZEM,PJP
PROTEKTOR,PRT
PUNKPIRAT,PUN
PURE,PUR
PZU,PZU
QUERCUS,QRS
R22,R22
RAFAKO,RFK
RAINBOW,RBW
RANKPROGR,RNK
RAWLPLUG,RWL
RELPOL,RLP
REMAK,RMK
RESBUD,RES
ROPCZYCE,RPC
RYVU,RVU
SANOK,SNK
SANPL,SPL
SANTANDER,SAN
SANWIL,SNW
SATIS,STS
SECOGROUP,SWG
SEKO,SEK
SELENAFM,SEL
SELVITA,SLV
SERINUS,SEN
SHOPER,SHO
SILVAIR-REGS,SVRS
SILVANO,SFG
SKARBIEC,SKH
SKOTAN,SKT
SKYLINE,SKL
SNIEZKA,SKA
SOHODEV,SHD
SONEL,SON
SOPHARMA,SPH
SPYROSOFT,SPR
STALEXP,STX
STALPROD,STP
STALPROFI,STF
STSHOLDING,STH
SUNEX,SNX
SUWARY,SUW
SYGNITY,SGN
SYNEKTIK,SNT
TALEX,TLX
TARCZYNSKI,TAR
TATRY,TMR
TAURONPE,TPE
TBULL,TBL
TESGAS,TSG
TIM,TIM
TORPOL,TOR
TOWERINVT,TOW
TOYA,TOA
TRAKCJA,TRK
TRANSPOL,TRN
TSGAMES,TEN
ULMA,ULM
ULTGAMES,ULG
UNIBEP,UNI
UNICREDIT,UCG
UNIMA,U2K
UNIMOT,UNT
VENTUREIN,VTI
VERCOM,VRC
VIGOSYS,VGO
VINDEXUS,VIN
VISTAL,VTL
VIVID,VVD
VOTUM,VOT
VOXEL,VOX
VRG,VRG
WARIMPEX,WXF
WASKO,WAS
WAWEL,WWL
WIELTON,WLT
WIKANA,WIK
WIRTUALNA,WPL
WITTCHEN,WTN
WOJAS,WOJ
XTB,XTB
XTPL,XTP
ZAMET,ZMT
ZEPAK,ZEP
ZPUE,PUE
ZREMB,ZRE
ZUE,ZUE
